Title,Link,Positive %,Neutral %,Negative %,,Positive %,Neutral %,Negative %,Results
Coco Jones,https://en.wikipedia.org/wiki/Coco_Jones,9.30%,87.20%,3.50%,P,9.70%,85.80%,4.50%,P
Victoria Monét,https://en.wikipedia.org/wiki/Victoria_Mon%C3%A9t,12.30%,85.40%,2.30%,P,13.30%,83.60%,3.10%,P
Brad Pitt,https://en.wikipedia.org/wiki/Brad_Pitt,13.60%,80.80%,5.60%,P,14.90%,78.80%,6.30%,P
Leonardo DiCaprio,https://en.wikipedia.org/wiki/Leonardo_DiCaprio,14.60%,77.90%,7.50%,P,15.80%,76.30%,7.90%,P
Angelina Jolie,https://en.wikipedia.org/wiki/Angelina_Jolie,12.20%,80.10%,7.70%,P,13.00%,78.60%,8.40%,P
Tom Hanks,https://en.wikipedia.org/wiki/Tom_Hanks,13.80%,82.30%,3.90%,P,14.80%,80.90%,4.20%,P
George Clooney,https://en.wikipedia.org/wiki/George_Clooney,15.20%,78.60%,6.20%,P,16.00%,77.10%,6.80%,P
Jim Carrey,https://en.wikipedia.org/wiki/Jim_Carrey,10.60%,82.90%,6.50%,P,11.40%,81.50%,7.10%,P
Will Smith,https://en.wikipedia.org/wiki/Will_Smith,14.70%,79.90%,5.40%,P,15.70%,78.40%,5.80%,P
Oprah Winfrey,https://en.wikipedia.org/wiki/Oprah_Winfrey,11.80%,83.00%,5.20%,P,12.50%,81.80%,5.70%,P
Dwayne Johnson,https://en.wikipedia.org/wiki/Dwayne_Johnson,10.20%,82.80%,7.00%,P,11.20%,81.10%,7.70%,P
Robert Downey Jr.,https://en.wikipedia.org/wiki/Robert_Downey_Jr.,11.50%,82.10%,6.40%,P,12.50%,80.40%,7.10%,P
Scarlett Johansson,https://en.wikipedia.org/wiki/Scarlett_Johansson,14.90%,79.10%,5.90%,P,16.20%,77.40%,6.40%,P
Emma Watson,https://en.wikipedia.org/wiki/Emma_Watson,11.70%,84.30%,4.00%,P,13.00%,82.70%,4.30%,P
Ellen DeGeneres,https://en.wikipedia.org/wiki/Ellen_DeGeneres,12.10%,83.00%,4.90%,P,12.80%,81.10%,5.40%,P
Johnny Depp,https://en.wikipedia.org/wiki/Johnny_Depp,11.20%,80.50%,8.30%,P,12.20%,78.50%,9.30%,P
Amber Heard,https://en.wikipedia.org/wiki/Amber_Heard,9.10%,81.60%,9.30%,N,9.90%,79.70%,10.50%,N
Priyanka Chopra,https://en.wikipedia.org/wiki/Priyanka_Chopra,18.10%,77.70%,4.20%,P,19.30%,76.10%,4.60%,P
Chris Hemsworth,https://en.wikipedia.org/wiki/Chris_Hemsworth,11.70%,82.50%,5.70%,P,12.90%,80.90%,6.20%,P
Sandra Bullock,https://en.wikipedia.org/wiki/Sandra_Bullock,12.60%,81.30%,6.00%,P,13.70%,79.70%,6.60%,P
Christopher Evans (actor),https://en.wikipedia.org/wiki/Chris_Evans_(actor),0.00%,100.00%,0.00%,-,0.00%,100.00%,0.00%,P
Jennifer Aniston,https://en.wikipedia.org/wiki/Jennifer_Aniston,15.20%,79.20%,5.60%,P,17.10%,77.00%,5.90%,P
Benedict Cumberbatch,https://en.wikipedia.org/wiki/Benedict_Cumberbatch,8.60%,87.90%,3.50%,P,9.30%,86.60%,4.20%,P
Robert Pattinson,https://en.wikipedia.org/wiki/Robert_Pattinson,13.90%,80.80%,5.30%,P,15.70%,78.50%,5.80%,P
Gal Gadot,https://en.wikipedia.org/wiki/Gal_Gadot,7.80%,85.90%,6.30%,P,8.20%,84.00%,7.80%,N
Matt Damon,https://en.wikipedia.org/wiki/Matt_Damon,13.70%,81.30%,5.00%,P,14.90%,79.20%,5.90%,P
Tom Cruise,https://en.wikipedia.org/wiki/Tom_Cruise,11.90%,81.80%,6.30%,P,12.70%,80.50%,6.90%,P
